image,rip_fraction,rip_pixels,num_components,largest_blob,issues
RipVIS-003_00000.jpg,0.1156,239760,1,239760,OK
RipVIS-003_00001.jpg,0.1156,239760,1,239760,OK
RipVIS-003_00002.jpg,0.12,248794,1,248794,OK
RipVIS-003_00004.jpg,0.1164,241363,1,241363,OK
RipVIS-003_00006.jpg,0.12,248853,1,248853,OK
RipVIS-003_00008.jpg,0.121,250841,1,250841,OK
RipVIS-003_00009.jpg,0.1227,254442,1,254442,OK
RipVIS-003_00011.jpg,0.1281,265556,1,265556,OK
RipVIS-003_00012.jpg,0.1207,250302,1,250302,OK
RipVIS-003_00013.jpg,0.1526,316399,1,316399,OK
RipVIS-003_00014.jpg,0.1427,295815,1,295815,OK
RipVIS-003_00015.jpg,0.1499,310878,1,310878,OK
RipVIS-003_00016.jpg,0.1356,281241,1,281241,OK
RipVIS-003_00018.jpg,0.154,319308,1,319308,OK
RipVIS-003_00019.jpg,0.145,300657,1,300657,OK
RipVIS-003_00020.jpg,0.1441,298762,1,298762,OK
RipVIS-003_00022.jpg,0.1442,298994,1,298994,OK
RipVIS-003_00024.jpg,0.1448,300297,1,300297,OK
RipVIS-003_00025.jpg,0.1621,336061,1,336061,OK
RipVIS-003_00027.jpg,0.2196,455404,1,455404,OK
RipVIS-003_00029.jpg,0.191,395961,1,395961,OK
RipVIS-003_00030.jpg,0.1654,342939,1,342939,OK
RipVIS-003_00032.jpg,0.1762,365388,1,365388,OK
RipVIS-003_00033.jpg,0.1511,313356,1,313356,OK
RipVIS-003_00035.jpg,0.1665,345188,1,345188,OK
RipVIS-003_00036.jpg,0.1622,336313,1,336313,OK
RipVIS-003_00037.jpg,0.1652,342638,1,342638,OK
RipVIS-003_00038.jpg,0.1747,362193,1,362193,OK
RipVIS-003_00040.jpg,0.1941,402515,1,402515,OK
RipVIS-003_00041.jpg,0.1693,350986,1,350986,OK
RipVIS-003_00042.jpg,0.2019,418700,1,418700,OK
RipVIS-003_00043.jpg,0.2075,430180,1,430180,OK
RipVIS-003_00044.jpg,0.2024,419627,1,419627,OK
RipVIS-003_00046.jpg,0.1984,411469,1,411469,OK
RipVIS-003_00047.jpg,0.2324,481878,1,481878,OK
RipVIS-003_00049.jpg,0.2021,419151,1,419151,OK
RipVIS-003_00050.jpg,0.1848,383134,1,383134,OK
RipVIS-003_00051.jpg,0.1862,386181,1,386181,OK
RipVIS-003_00053.jpg,0.2045,424043,1,424043,OK
RipVIS-003_00054.jpg,0.1906,395157,1,395157,OK
RipVIS-003_00055.jpg,0.1576,326833,1,326833,OK
RipVIS-003_00056.jpg,0.1774,367891,1,367891,OK
RipVIS-003_00058.jpg,0.1766,366261,1,366261,OK
RipVIS-003_00059.jpg,0.1341,278116,1,278116,OK
RipVIS-003_00060.jpg,0.1166,241769,1,241769,OK
RipVIS-003_00061.jpg,0.1682,348796,1,348796,OK
RipVIS-003_00063.jpg,0.1724,357559,1,357559,OK
RipVIS-003_00064.jpg,0.1821,377634,1,377634,OK
RipVIS-003_00066.jpg,0.1924,399032,1,399032,OK
RipVIS-003_00067.jpg,0.1615,334848,1,334848,OK
RipVIS-003_00068.jpg,0.1645,341034,1,341034,OK
RipVIS-003_00069.jpg,0.1645,341031,1,341031,OK
RipVIS-003_00070.jpg,0.1763,365634,1,365634,OK
RipVIS-003_00071.jpg,0.1738,360393,1,360393,OK
RipVIS-003_00072.jpg,0.1485,307984,1,307984,OK
RipVIS-003_00073.jpg,0.1377,285623,1,285623,OK
RipVIS-003_00074.jpg,0.1377,285623,1,285623,OK
RipVIS-003_00076.jpg,0.1377,285623,1,285623,OK
RipVIS-003_00077.jpg,0.1419,294323,1,294323,OK
RipVIS-003_00078.jpg,0.1362,282389,1,282389,OK
RipVIS-003_00079.jpg,0.1333,276503,1,276503,OK
RipVIS-004_00000.jpg,0.2116,194971,2,111961,OK
RipVIS-004_00001.jpg,0.1915,176459,2,98314,OK
RipVIS-004_00002.jpg,0.1691,155804,2,84830,OK
RipVIS-004_00003.jpg,0.1604,147800,2,79383,OK
RipVIS-004_00004.jpg,0.1504,138599,2,69782,OK
RipVIS-004_00005.jpg,0.1149,105888,2,63600,OK
RipVIS-004_00006.jpg,0.0991,91330,1,91330,OK
RipVIS-004_00007.jpg,0.0951,87656,2,45324,OK
RipVIS-004_00008.jpg,0.076,70086,2,36183,OK
